"FdSexParameterID","FdGrowthParameterID","VLSexType","FdLinf","FdLinfSE","FdK","FdKSE","FdTzero","FdTzeroSE","FdParameterRsquared"
"483","493","Female","53.57","","","0.176","","-2.47",""
"485","494","Male","70","","6.075","0.051","0.011","-2.6","1.127"
"486","494","Female","78","","1.533","0.042","0.016","-3.9","1.746"
"487","494","Both","59","","1.421","0.083","0.004","-0.56","0.082"
"488","495","Male","45","","1.396","0.1","0.013","-1.1","0.854"
"489","495","Female","47","","1.523","0.092","0.012","-1.5","0.883"
"490","495","Both","47","","9.176","0.089","0.005","-1.8","0.27"
"491","496","Male","61","","3.064","0.13","0.021","-1","0.5167"
"492","496","Female","75","","3.592","0.08","0.087","-2.9","3.492"
"493","496","Both","61","","1.8","0.14","0.01","0.65","0.131"
"496","497","Both","40","","","0.183","","-0.606",""
"499","498","Both","54.7","","","0.068","","-3.6",""
"502","499","Both","64.2","","","0.121","","-1.64",""
"503","500","Male","35","","","0.21","","-1.5",""
"504","500","Female","47","","","0.087","","-4.5",""
"506","501","Male","52","","","0.12","","-1.9",""
"507","501","Female","46","","","0.16","","-1.3",""
"509","502","Male","45","","","0.075","","-5.9",""
"510","502","Female","54","","","0.041","","-9.8",""
"514","503","Both","68","","","0.076","","-4.3",""
"515","504","Male","35","","","0.21","","-1.5",""
"516","504","Female","47","","","0.087","","-4.5",""
"517","504","Both","53","","","0.06","","-6.2",""
"518","505","Male","52","","","0.12","","-1.9",""
"519","505","Female","46","","","0.16","","-1.3",""
"520","505","Both","50","","","0.12","","-0.1",""
"521","506","Male","45","","","0.075","","-5.9",""
"522","506","Female","54","","","0.041","","-9.8",""
"523","506","Both","68","","","0.032","","-8.5",""
"526","507","Both","68","","","0.76","","-4.3",""
"530","509","Male","48.9","","","0.14","","-6.24",""
"533","510","Male","49.25","","","0.177","","-2.14",""
"534","510","Female","52.1","","","0.183","","-1.2",""
"541","512","Both","68.869","","","-0.22","","0.033",""
"542","285","Male","817","","","0.156","","-2.49",""
"544","470","Both","32.8","33.6","0.143","0.132","-1.55","-1.74",""
"545","458","Male","52.1","0.19","","","0.17","",""
"546","458","Male","55.95","0.17","","","0.02","",""
"547","458","Female","57.7","0.16","","","0.14","",""
"548","458","Female","63.4","0.13","","","0.46","",""
