"FdSizeRangeID","LkupSpeciesID","VLLifeStage","FdSizeRange"
"686","118","Eggs","1.1 to 1.3"
"687","117","Eggs","1.3 to 1.5"
"688","47","Eggs","<1.0"
"689","47","Eggs","0.08 to 1.0"
"690","47","Eggs","1.0 (avg.)"
"691","47","Juveniles","30 to 140"
"692","47","Juveniles","35 to 45 TL (at hatching)"
"693","47","Larvae","4 to 7 at hatching, postlarval length is probably 35"
"694","120","Eggs","NA"
"695","120","Larvae","NA"
"696","123","Eggs","NA"
"697","123","Juveniles","180 to 200 to maturity"
"698","123","Larvae","NA"
"699","76","Eggs","0.74 to 0.80"
"700","76","Larvae","1.5 to 20.7"
"701","16","Eggs","NA"
"702","16","Juveniles","approx. 80 to 250"
"703","16","Larvae","NA"
"704","31","Eggs","NG"
"705","31","Eggs","NG"
"706","31","Eggs","NG"
"707","31","Juveniles","163 to 170 (juv or adult?)"
"708","31","Juveniles","163 to 180 (juv or adult?)"
"709","31","Larvae","<2.2 NL (hatching) to 21 (transformation)"
"710","31","Larvae","2.7 to 15.5"
"711","115","Eggs","2.5"
"712","115","Juveniles","17 to maturity"
"713","115","Larvae","9.5"
"714","115","Larvae","11"
"716","32","Adults","100 to 314 (juv or adult?)"
"717","13","Adults","220 to 313 TL (breeding males)"
"718","13","Adults","287 to 385 TL (breeding females)"
"719","35","Adults","244"
"720","35","Adults","59 to 392 TL (juv & adult)"
"721","14","Adults",">118 TL (1+ and older)"
"722","14","Adults",">120 TL"
"723","14","Adults",">120 TL (adult)"
"724","14","Adults",">70"
"725","14","Adults","105 to 290 ?L (juv & adult)"
"726","14","Adults","107 to 160 TL (juv & adult)"
"727","14","Adults","20 to 220 TL (juv & adult)"
"728","14","Adults","33 to 243 TL"
"729","14","Adults","33 to 290 TL (juv & adult)"
"730","14","Adults","45 to 245 TL (juv & adult)"
"731","14","Adults","54 to 140 ?L (juv & adult)"
"732","14","Adults","59 to 220 ?L (juv & adult)"
"733","14","Adults","66 to 166 TL (juv & adult)"
"734","14","Adults","99 to 205 (juv & adult)"
"735","34","Adults",">450 FL (adult estimate)"
"736","34","Adults","420 to 875 TL"
"737","34","Adults","470 to 740 (juv & adult)"
"738","34","Adults","600 to 1140 TL"
"739","34","Adults","Male: >460 TL; Female: >700 TL"
"740","34","Adults","see data (juv and adult)"
"742","12","Adults",">488"
"743","12","Adults","200 to 499 (juv & adult )"
"744","12","Adults","401 to 720 TL (arbitrary)"
"745","31","Adults","163 to 170 (juv or adult?)"
"746","31","Adults","163 to 180 (juv or adult?)"
