"FdSpawnFertID","FdSpawningAreaID","LkupSpawnFertStage","VLMonth","Peaks/Notes"
"1704","303","2","May","Peak Spawning"
"1705","303","2","June","Peak Spawning"
"1706","312","2","February",""
"1707","308","2","February",""
"1708","309","2","January",""
"1709","309","2","February",""
"1710","309","2","March",""
"1711","309","2","April",""
"1720","314","2","January",""
"1721","314","2","February",""
"1722","314","2","March",""
"1723","313","3","January","Peak Fertilization"
"1724","313","2","February","Peak Spawning"
"1725","313","2","March",""
"1726","313","2","April",""
"1727","313","2","May",""
"1735","310","2","January",""
"1741","310","7","July",""
"1742","310","7","August",""
"1744","310","7","October",""
"1745","310","7","November",""
"1747","311","3","January","Peak Spawning"
"1748","311","2","February","Peak Spawning"
"1749","311","2","March","Peak Spawning"
"1750","311","2","April","Peak Spawning"
"1751","311","2","May",""
"1757","311","7","November",""
"1759","316","2","January",""
"1760","316","2","February",""
"1761","316","2","March",""
"1767","316","2","September","Peak Spawning"
"1768","316","2","October",""
"1769","316","2","November",""
"1770","316","2","December",""
"1771","315","3","January",""
"1772","315","2","February",""
"1773","315","2","March",""
"1774","315","2","April",""
"1775","315","2","May",""
"1776","315","2","June",""
"1777","315","3","July",""
"1778","315","3","August",""
"1779","315","2","September",""
"1782","315","2","December",""
"1791","318","2","September",""
"1792","318","2","October",""
"1793","318","2","November","Peak Spawning"
"1794","318","2","December",""
"1795","317","2","January","Peak Spawning"
"1796","317","2","February","Peak Spawning"
"1797","317","2","March","Peak Spawning"
"1798","317","2","April","Peak Spawning"
"1799","317","2","May","Peak Spawning"
"1803","317","2","September","Peak Spawning"
"1804","317","2","October","Peak Spawning"
"1805","317","2","November","Peak Spawning"
"1806","317","2","December","Peak Spawning"
"1807","320","3","January","Peak Fertilization"
"1808","320","3","February","Peak Spawning"
"1809","320","2","March",""
"1813","320","7","July",""
"1814","320","7","August",""
"1815","320","7","September",""
"1817","320","2","November",""
"1818","320","2","December",""
"1831","319","2","January","Peak Spawning"
"1832","319","2","February","Peak Spawning"
"1833","319","2","March",""
"1838","319","7","August",""
"1839","319","7","September",""
"1840","319","2","October",""
"1841","319","2","November",""
"1842","319","2","December",""
"1843","322","7","January",""
"1844","322","2","February",""
"1845","321","2","January","Peak Spawning"
"1846","321","2","February",""
"1847","321","2","March",""
"1854","321","7","October",""
"1855","321","3","November",""
"1856","321","3","December",""
"1858","323","2","February",""
"1859","323","3","March",""
"1860","323","3","April",""
"1861","323","3","May","Peak Spawning"
"1862","323","2","June",""
"1863","323","3","July",""
"1864","323","7","August",""
"1869","325","3","January","Peak Fertilization"
"1870","325","2","February",""
"1871","325","2","March",""
"1872","325","2","April",""
"1873","325","2","May",""
"1874","325","2","June",""
"1881","325","3","January","Peak Spawning"
"1882","326","7","January","Peak Spawning"
"1883","326","2","February","Peak Spawning"
"1884","326","2","April","Peak Spawning"
"1885","326","2","May","Peak Spawning"
"1886","324","2","April",""
"1887","324","2","May",""
"1889","327","3","February",""
"1890","327","3","March",""
"1891","327","3","April",""
"1892","327","3","May",""
"1893","327","2","June",""
"1900","328","2","May","Peak Spawning"
"1901","330","2","May",""
"1902","331","2","May",""
"1903","333","2","January","Peak Spawning"
"1904","333","2","February","Peak Spawning"
"1905","333","2","March",""
"1906","333","2","April",""
"1907","333","2","May",""
"1912","333","2","October",""
"1913","333","2","November",""
"1914","333","2","December",""
"1916","332","2","February","Peak Spawning"
"1917","332","2","March","Peak Spawning"
"1918","332","2","April","Peak Spawning"
"1919","332","2","May","Peak Spawning"
"1927","334","3","February",""
"1928","334","3","March",""
"1929","334","3","April",""
"1930","335","2","January",""
"1931","335","2","February","Peak Spawning"
"1932","335","2","March",""
"1942","341","2","January","Peak Spawning"
"1943","341","2","February",""
"1944","341","2","March",""
"1950","341","2","September",""
"1951","341","2","October",""
"1952","341","2","November",""
"1953","341","2","December","Peak Spawning"
"1954","340","2","January","Peak Spawning"
"1955","340","2","February",""
"1956","340","2","March",""
"1957","340","2","April",""
"1965","340","2","December","Peak Spawning"
"1966","339","2","January",""
"1967","339","2","February",""
"1968","339","2","March",""
"1974","339","2","September",""
"1975","339","2","October",""
"1976","339","2","November",""
"1977","339","2","December",""
"1978","337","2","January",""
"1979","337","2","February",""
"1980","337","2","March",""
"1988","337","2","November","Peak Fertilization"
"1989","337","2","December","Peak Fertilization"
"1990","337","2","November","Peak Spawning"
"1991","337","2","December","Peak Spawning"
"1992","336","7","September",""
"1993","336","7","October",""
"1994","336","7","December",""
"1997","338","2","January",""
"1998","338","2","February",""
"1999","338","2","March",""
"2000","338","2","April","Peak Spawning"
"2017","338","7","December","Peak Fertilization"
"2018","342","7","April",""
"2019","342","3","May",""
"2020","342","2","June",""
"2021","343","2","July","Peak Spawning"
"2025","345","3","April",""
"2026","345","3","May",""
"2027","345","2","June","Peak Spawning"
"2028","345","2","July",""
"2034","344","2","July",""
"2035","344","2","August",""
"2036","346","2","January",""
"2037","346","2","February",""
"2038","346","2","March",""
"2043","346","7","August",""
"2046","346","3","November",""
"2047","346","2","December",""
"2048","348","3","January","Peak Spawning"
"2049","348","3","February",""
"2050","348","2","March",""
"2059","348","7","December",""
"2060","347","2","February","Peak Spawning"
"2064","350","3","April",""
"2065","350","3","May","Peak Fertilization"
"2066","350","2","June","Peak Spawning"
"2067","350","2","July",""
"2074","349","2","February",""
"2075","349","2","March",""
"2076","349","2","April",""
"2077","349","2","May",""
"2078","349","2","June",""
"2079","349","2","July",""
"2080","349","2","August",""
"2081","349","2","September",""
"2082","349","7","October",""
"2083","349","7","November",""
"2084","349","7","December",""
"2085","352","2","January",""
"2086","352","2","February",""
"2087","352","2","March",""
"2088","352","2","April",""
"2089","352","2","May","Peak Spawning"
"2090","352","2","June",""
"2091","352","2","July",""
"2092","352","2","August",""
"2093","352","2","September",""
"2099","351","7","March",""
"2100","351","3","April","Peak Spawning"
"2101","351","3","May","Peak Spawning"
"2102","351","2","June","Peak Spawning"
"2109","353","2","January",""
"2110","353","2","February",""
"2111","353","2","March",""
"2112","353","2","April","Peak Spawning"
"2113","353","2","May",""
"2114","353","2","June",""
"2115","353","2","July",""
"2120","353","2","December",""
"2122","354","2","February",""
"2123","354","3","March",""
"2124","354","3","April",""
"2125","354","3","May",""
"2126","354","3","June",""
"2127","354","2","July",""
"2128","354","2","August",""
"2129","354","2","September",""
"2133","355","2","May",""
"2134","360","7","January",""
"2135","360","7","February",""
"2136","360","2","March",""
"2137","360","2","April",""
"2139","360","7","June",""
"2140","360","3","July",""
"2141","360","2","August",""
"2145","360","7","December",""
"2148","359","2","March",""
"2149","359","3","April",""
"2150","359","3","May",""
"2151","359","2","June",""
"2158","358","2","April","Peak Fertilization"
"2159","358","2","May",""
"2160","358","2","June","Peak Spawning"
"2161","356","7","January",""
"2162","356","2","April",""
"2163","356","7","September",""
"2167","357","2","April","Peak Spawning"
"2168","357","2","May","Peak Spawning"
"2169","357","2","June","Peak Spawning"
"2170","357","2","July","Peak Spawning"
"2171","357","2","August","Peak Spawning"
"2176","365","2","July",""
"2177","363","3","April",""
"2178","363","3","May",""
"2179","362","2","July",""
"2180","362","2","August",""
"2183","364","2","March",""
"2184","364","2","April",""
"2185","364","2","May",""
"2186","364","2","June",""
"2193","361","2","July","Peak Spawning"
"2194","366","2","February",""
"2195","370","2","January",""
"2196","370","2","February",""
"2197","369","2","January","Peak Spawning"
"2198","369","2","February",""
"2199","369","2","March",""
"2207","369","3","November",""
"2208","369","3","December","Peak Fertilization"
"2209","367","2","January","Peak Spawning"
"2210","367","2","February","Peak Spawning"
"2214","367","2","June","Peak Spawning"
"2220","367","2","December","Peak Spawning"
"2221","371","2","January",""
"2222","371","2","February",""
"2229","371","2","September",""
"2230","371","2","October",""
"2231","371","2","November",""
"2232","371","2","December","Peak Spawning"
"2233","368","2","January","Peak Spawning"
"2234","368","2","February","Peak Spawning"
"2235","368","2","March","Peak Spawning"
"2236","372","2","January",""
"2237","372","2","February","Peak Spawning"
"2238","372","2","March",""
"2239","372","2","December",""
"2240","375","2","January","Peak Fertilization"
"2241","375","2","February","Peak Spawning"
"2242","375","2","March",""
"2243","373","3","January","Peak Spawning"
"2244","373","2","February",""
"2245","373","2","March",""
"2247","373","7","May",""
"2251","373","7","September",""
"2252","373","7","October",""
"2253","373","7","November",""
"2254","373","3","December",""
"2255","376","3","January","Peak Spawning"
"2256","376","2","February",""
"2257","376","2","March",""
"2265","376","7","November",""
"2266","376","3","December",""
"2267","374","2","January",""
"2268","374","2","February","Peak Spawning"
"2269","374","2","March",""
"2270","374","2","April",""
"2278","374","2","December",""
"2279","377","3","May",""
"2280","377","3","June",""
"2283","381","3","March",""
"2284","381","3","April",""
"2285","381","3","May",""
"2286","381","3","June",""
"2293","380","3","January",""
"2294","380","3","February",""
"2295","380","3","March",""
"2296","380","3","April",""
"2297","380","3","May",""
"2298","380","3","June",""
"2305","378","3","February",""
"2306","378","3","March",""
"2307","379","3","January",""
"2308","379","3","February",""
"2309","379","3","March",""
"2310","379","3","April","Peak Spawning"
"2311","379","3","May",""
"2312","379","3","June",""
"2321","386","3","March",""
"2322","386","3","April",""
"2323","386","3","May",""
"2331","385","3","January",""
"2332","385","3","February",""
"2333","385","3","March",""
"2334","385","3","April",""
"2335","385","3","May",""
"2336","385","3","June",""
"2345","384","3","March",""
"2346","384","3","April",""
"2347","384","3","May",""
"2355","382","3","February",""
"2356","382","3","March",""
"2357","383","3","January",""
"2358","383","3","February","Peak Spawning"
"2359","383","3","March",""
"2360","383","3","April","Peak Spawning"
"2361","383","3","May",""
"2369","427","3","January","Doubtful Spawning Records"
"2370","427","2","February",""
"2371","427","2","March",""
"2372","427","2","April",""
"2373","427","2","May",""
"2374","427","2","June",""
"2375","427","2","July",""
"2376","427","3","November","Doubtful Spawning Records"
"2377","427","3","December","Doubtful Spawning Records"
"2378","3","7","January",""
"2379","3","2","July",""
"2380","3","2","August","Peak Spawning"
"2381","3","2","September","Peak Spawning"
"2382","3","7","November",""
"2383","3","7","December",""
"2388","2","2","May",""
"2389","2","2","June",""
"2390","2","2","July",""
"2391","2","2","August",""
"2400","41","2","May",""
"2401","41","2","June",""
"2402","41","2","July",""
"2403","41","2","August",""
"2408","41","7","November",""
"2409","41","7","December","Peak Fertilization"
"2413","47","2","April",""
"2414","47","2","May",""
"2415","47","2","June","Peak Spawning"
"2416","47","2","July","Peak Spawning"
"2417","47","2","August","Peak Spawning"
"2418","47","2","September",""
"2426","45","2","May",""
"2427","45","2","June",""
"2428","45","2","July","Peak Spawning"
"2429","45","2","August","Peak Spawning"
"2430","45","2","September","Peak Spawning"
"2431","45","2","October",""
"2437","43","2","April",""
"2438","43","2","May",""
"2439","43","2","June",""
"2440","43","2","July",""
"2441","43","2","August",""
"2444","43","7","November",""
"2445","43","7","December",""
"2449","44","2","April",""
"2450","44","2","May",""
"2451","44","2","June","Peak Spawning"
"2452","44","2","July","Peak Spawning"
"2453","44","2","August",""
"2454","44","2","September",""
"2455","44","2","October",""
"2456","44","2","November",""
"2457","44","7","December",""
"2461","42","2","April",""
"2462","42","2","May",""
"2463","42","2","June","Peak Spawning"
"2464","42","2","July","Peak Spawning"
"2465","42","2","August",""
"2470","46","7","January",""
"2471","46","7","February",""
"2472","46","2","March",""
"2473","46","2","April",""
"2474","46","2","May","Peak Spawning"
"2475","46","2","June",""
"2476","46","2","July",""
"2477","46","2","August",""
"2478","46","2","September",""
"2480","46","7","November",""
"2481","46","7","December",""
"2489","53","2","April",""
"2490","53","2","May",""
"2491","53","2","June",""
"2492","53","2","July",""
"2506","55","2","September",""
"2507","55","2","October",""
"2508","55","2","November","Peak Spawning"
"2510","56","2","January","Doubtful Spawning Records"
"2511","56","2","February","Doubtful Spawning Records"
"2512","56","2","March","Doubtful Spawning Records"
"2513","56","2","April",""
"2514","56","2","May",""
"2515","56","2","June","Peak Spawning"
"2520","56","2","November",""
"2521","56","3","December","Doubtful Spawning Records"
"2522","54","2","September",""
"2523","54","2","October",""
"2524","54","2","November",""
"2525","57","2","June",""
"2526","57","2","July",""
"2527","57","2","August",""
"2533","61","2","June",""
"2534","61","2","July",""
"2535","61","2","August",""
"2536","61","7","September",""
"2537","61","7","October",""
"2538","61","7","November",""
"2544","59","2","May",""
"2545","59","2","June","Peak Spawning"
"2546","59","2","July",""
"2547","59","2","August",""
"2548","59","2","September",""
"2554","58","2","March",""
"2555","58","2","April",""
"2556","58","2","May",""
"2557","58","2","June",""
"2564","60","2","January","Doubtful Spawning Records"
"2565","60","2","February","Doubtful Spawning Records"
"2566","60","7","September",""
"2567","60","2","December","Doubtful Spawning Records"
"2568","105","2","August",""
"2572","106","2","April",""
"2573","106","2","May",""
"2574","106","2","June",""
"2578","106","7","October",""
"2579","106","7","November",""
"2580","106","7","December",""
"2581","107","2","June",""
"2582","107","2","July",""
"2583","107","2","August",""
"2584","108","2","July",""
"2585","108","2","August",""
"2586","108","2","September",""
"2587","120","2","August",""
"2588","120","2","September",""
"2593","206","2","May",""
"2594","206","2","June",""
"2595","206","2","July",""
"2596","206","2","August",""
"2604","204","2","April",""
"2605","204","2","May",""
"2606","204","2","June",""
"2607","204","2","July",""
"2617","207","2","May",""
"2618","207","2","June",""
"2619","207","2","July",""
"2629","205","2","May",""
"2630","205","2","June",""
"2631","205","2","July",""
"2632","205","2","August",""
"2637","239","2","April",""
"2638","239","2","May",""
"2639","239","2","June",""
"2647","48","2","August",""
"2652","51","7","January","Peak Fertilization"
"2653","51","7","February","Peak Fertilization"
"2654","51","7","March",""
"2655","51","7","April",""
"2656","51","2","May",""
"2657","51","2","June",""
"2658","51","2","July","Peak Spawning"
"2659","51","2","August","Peak Spawning"
"2660","51","2","September",""
"2661","51","2","October",""
"2662","51","2","November",""
"2663","51","7","December","Peak Fertilization"
"2664","50","7","January",""
"2665","50","7","February",""
"2666","50","7","March",""
"2667","50","7","April",""
"2669","50","2","June",""
"2670","50","2","July",""
"2671","50","2","August",""
"2672","50","2","September",""
"2673","50","2","October",""
"2675","50","7","December",""
"2676","49","2","May",""
"2677","49","2","June",""
"2681","52","2","April",""
"2683","52","2","June",""
"2684","52","2","July",""
"2685","52","2","August",""
"2686","52","2","September",""
"2687","52","2","October",""
"2690","189","3","January",""
"2691","189","3","February",""
"2692","189","3","March",""
"2693","189","3","April",""
"2700","189","3","November",""
"2701","189","3","December",""
"2702","191","3","January","Peak Spawning"
"2703","191","3","February","Peak Spawning"
"2704","191","3","March","Peak Spawning"
"2705","191","3","April","Peak Spawning"
"2706","191","3","May","Peak Spawning"
"2707","191","3","June",""
"2708","191","3","July",""
"2709","191","3","August",""
"2710","191","3","September",""
"2711","191","3","October",""
"2712","191","3","November",""
"2713","191","3","December","Peak Spawning"
"2714","188","3","January",""
"2715","188","3","February","Peak Spawning"
"2716","188","3","March",""
"2717","188","3","April",""
"2719","188","3","June",""
"2720","188","3","July","Peak Spawning"
"2721","188","3","August",""
"2722","188","3","September",""
"2726","187","3","January","Peak Spawning"
"2727","187","3","February","Peak Spawning"
"2728","187","3","March","Peak Spawning"
"2729","187","3","April","Peak Spawning"
"2730","187","3","May","Peak Spawning"
"2731","187","3","June",""
"2732","187","3","July",""
"2733","187","3","August",""
"2734","187","3","September",""
"2735","187","3","October",""
"2736","187","3","November",""
"2737","187","3","December","Peak Spawning"
"2739","190","3","February",""
"2740","190","3","March",""
"2741","190","3","April",""
"2742","190","3","May",""
"2743","190","3","June",""
"2751","38","3","February",""
"2752","38","3","March",""
"2753","38","3","April",""
"2754","38","3","May",""
"2768","37","3","July",""
"2769","37","3","August",""
"2770","37","3","September",""
"2780","35","3","July",""
"2781","35","3","August","Peak Spawning"
"2782","35","3","September",""
"2786","36","3","January",""
"2787","36","3","February",""
"2788","36","3","March",""
"2789","36","3","April",""
"2790","36","3","May",""
"2791","36","3","June",""
"2792","36","3","July",""
"2793","36","3","August",""
"2794","36","3","September",""
"2795","36","3","October",""
"2796","36","3","November",""
"2797","36","3","December",""
"2798","40","3","January",""
"2799","40","3","February",""
"2800","40","3","March",""
"2801","40","3","April",""
"2802","40","3","May",""
"2803","40","3","June",""
"2804","40","3","July",""
"2805","40","3","August",""
"2806","40","3","September",""
"2807","40","3","October",""
"2812","39","3","March",""
"2813","39","3","April",""
"2814","39","3","May",""
"2815","39","3","June",""
"2816","39","3","July",""
"2817","39","3","August",""
"2825","212","3","April",""
"2826","212","3","May",""
"2827","212","3","June",""
"2828","212","3","July",""
"2835","209","3","February",""
"2836","209","3","March",""
"2837","209","3","April","Peak Spawning"
"2838","209","3","May",""
"2850","208","3","May",""
"2851","208","3","June",""
"2859","214","3","February",""
"2860","214","3","March","Peak Spawning"
"2861","214","3","April",""
"2871","215","3","February",""
"2872","215","3","March",""
"2873","215","3","April",""
"2882","213","3","January",""
"2883","213","3","February",""
"2892","213","3","November",""
"2893","213","3","December",""
"2894","210","3","January",""
"2895","210","3","February",""
"2904","210","3","November",""
"2905","210","3","December",""
"2906","211","3","January","Peak Spawning"
"2907","211","3","February",""
"2915","211","3","October",""
"2916","211","3","November",""
"2917","211","3","December","Peak Spawning"
"2918","193","3","January",""
"2919","193","3","February","Peak Spawning"
"2920","193","3","March",""
"2921","193","3","April",""
"2929","193","3","December",""
"2931","192","3","February",""
"2932","192","3","March",""
"2933","192","3","April",""
"2934","192","3","May",""
"2938","192","3","September",""
"2939","192","3","October",""
"2940","192","3","November",""
"2941","192","3","December",""
"2942","200","3","January",""
"2943","200","3","February","Peak Spawning"
"2944","200","3","March","Peak Spawning"
"2945","200","3","April",""
"2954","199","3","January","Peak Spawning"
"2955","199","3","February","Peak Spawning"
"2956","199","3","March","Peak Spawning"
"2957","199","3","April","Peak Spawning"
"2958","199","3","May",""
"2959","199","3","June",""
"2960","199","3","July",""
"2961","199","3","August",""
"2962","199","3","September","Peak Spawning"
"2963","199","3","October","Peak Spawning"
"2964","199","3","November","Peak Spawning"
"2965","199","3","December","Peak Spawning"
"2966","198","3","January",""
"2967","198","3","February",""
"2968","198","3","March",""
"2969","198","3","April","Peak Spawning"
"2970","198","3","May",""
"2980","197","3","March",""
"2981","197","3","April",""
"2982","197","3","May",""
"2990","194","3","January",""
"2991","194","3","February",""
"2992","194","3","March",""
"2993","194","3","April",""
"2994","194","3","May",""
"2999","194","3","October",""
"3000","194","3","November",""
"3001","194","3","December",""
"3002","195","3","January","Peak Spawning"
"3003","195","3","February","Peak Spawning"
"3004","195","3","March",""
"3005","195","3","April",""
"3006","195","3","May",""
"3007","195","3","June",""
"3008","195","3","July",""
"3009","195","3","August",""
"3010","195","3","September",""
"3011","195","3","October",""
"3012","195","3","November",""
"3013","195","3","December","Peak Spawning"
"3014","196","3","January","Peak Spawning"
"3015","196","3","February","Peak Spawning"
"3016","196","3","March","Peak Spawning"
"3017","196","3","April","Peak Spawning"
"3018","196","3","May",""
"3019","196","3","June",""
"3020","196","3","July",""
"3021","196","3","August",""
"3022","196","3","September",""
"3023","196","3","October",""
"3024","196","3","November",""
"3025","196","3","December",""
"3026","62","3","January",""
"3027","62","3","February",""
"3028","62","3","March",""
"3029","62","3","April",""
"3037","62","3","December",""
"3038","68","3","January",""
"3039","68","3","February",""
"3040","68","3","March",""
"3041","68","3","April",""
"3049","68","3","December",""
"3050","66","3","January","Peak Spawning"
"3051","66","3","February",""
"3052","66","3","March",""
"3053","66","3","April",""
"3054","66","3","May",""
"3060","66","3","November",""
"3061","66","3","December","Peak Spawning"
"3062","69","3","January","Peak Spawning"
"3063","69","3","February",""
"3064","69","3","March",""
"3065","69","3","April",""
"3072","69","3","November",""
"3073","69","3","December","Peak Spawning"
"3074","63","3","January",""
"3075","63","3","February",""
"3076","63","3","March",""
"3077","63","3","April",""
"3085","63","3","December",""
"3086","64","3","January",""
"3087","64","3","February",""
"3088","64","3","March",""
"3089","64","3","April",""
"3097","64","3","December",""
"3098","65","3","January","Peak Spawning"
"3099","65","3","February","Peak Spawning"
"3100","65","3","March",""
"3101","65","3","April",""
"3108","65","3","November",""
"3109","65","3","December",""
"3110","67","3","January",""
"3111","67","3","February",""
"3121","67","3","December",""
"3127","119","3","June",""
"3128","119","3","July",""
"3129","119","3","August",""
"3130","119","3","September",""
"3131","119","3","October",""
"3136","116","3","March",""
"3137","116","3","April",""
"3138","116","3","May",""
"3139","116","3","June",""
"3140","116","3","July",""
"3151","117","3","June",""
"3152","117","3","July",""
"3153","117","3","August",""
"3154","117","3","September",""
"3155","117","3","October",""
"3158","115","3","January","Peak Spawning"
"3159","115","3","February",""
"3166","115","3","September",""
"3167","115","3","October",""
"3168","115","3","November","Peak Spawning"
"3169","115","3","December","Peak Spawning"
"3170","118","3","April",""
"3173","122","3","March",""
"3174","122","3","April","Peak Spawning"
"3175","122","3","May",""
"3176","122","3","June",""
"3184","123","3","February",""
"3185","123","3","March",""
"3186","123","3","April",""
"3195","128","3","January",""
"3196","128","3","February",""
"3197","128","3","March","Peak Spawning"
"3198","128","3","April",""
"3206","128","3","December",""
"3208","124","3","February",""
"3209","124","3","March",""
"3210","124","3","April",""
"3219","129","3","January",""
"3220","129","3","February","Peak Spawning"
"3221","129","3","March",""
"3229","129","3","November",""
"3230","129","3","December",""
"3232","127","3","February",""
"3233","127","3","March",""
"3234","127","3","April",""
"3243","127","3","May",""
"3245","126","3","February",""
"3246","126","3","March",""
"3247","126","3","April",""
"3256","125","3","February",""
"3257","125","3","March",""
"3258","235","3","April","Peak Spawning"
"3259","238","3","July","Peak Spawning"
"3260","237","3","January",""
"3261","237","3","February","Peak Spawning"
"3262","237","3","March",""
"3263","237","3","April",""
"3272","234","3","January",""
"3273","234","3","February",""
"3274","234","3","March",""
"3278","234","3","July",""
"3279","234","3","August",""
"3281","234","3","October",""
"3284","236","3","January",""
"3285","236","3","February",""
"3286","236","3","March",""
"3287","236","3","April",""
"3288","236","3","May",""
"3289","236","3","June",""
"3290","236","3","July",""
"3297","220","3","February",""
"3298","220","3","March",""
"3299","220","3","April",""
"3310","218","3","March",""
"3311","218","3","April",""
"3312","218","3","May",""
"3313","218","3","June",""
"3314","218","3","July",""
"3315","218","3","August",""
"3320","221","3","April",""
"3322","217","3","February",""
"3323","217","3","March",""
"3324","217","3","April","Peak Spawning"
"3325","217","3","May","Peak Spawning"
"3326","217","3","June","Peak Spawning"
"3327","217","3","July","Peak Spawning"
"3328","217","3","August",""
"3329","217","3","September",""
"3330","217","3","October",""
"3335","219","3","March",""
"3336","219","3","April",""
"3337","219","3","May",""
"3338","219","3","June",""
"3339","219","3","July",""
"3340","219","3","August",""
"3347","227","3","March",""
"3348","227","3","April","Peak Spawning"
"3349","227","3","May","Peak Spawning"
"3350","227","3","June","Peak Spawning"
"3351","227","3","July",""
"3352","227","3","August",""
"3357","228","3","January",""
"3358","228","3","February",""
"3359","228","3","March",""
"3360","228","3","April",""
"3361","228","3","May",""
"3362","228","3","June",""
"3363","228","3","July",""
"3364","228","3","August",""
"3365","228","3","September",""
"3366","228","3","October",""
"3367","228","3","November",""
"3368","228","3","December",""
"3369","224","3","January",""
"3370","224","3","February",""
"3371","224","3","March",""
"3372","224","3","April",""
"3373","224","3","May",""
"3374","224","3","June",""
"3375","224","3","July","Peak Spawning"
"3376","224","3","August","Peak Spawning"
"3377","224","3","September","Peak Spawning"
"3378","224","3","October",""
"3379","224","3","November",""
"3380","224","3","December",""
"3381","225","3","January",""
"3382","225","3","February",""
"3383","225","3","March",""
"3384","225","3","April",""
"3385","225","3","May",""
"3386","225","3","June",""
"3387","225","3","July","Peak Spawning"
"3388","225","3","August","Peak Spawning"
"3389","225","3","September","Peak Spawning"
"3390","225","3","October","Peak Spawning"
"3391","225","3","November",""
"3392","225","3","December",""
"3393","226","2","January",""
"3394","226","2","February",""
"3395","226","2","March",""
"3396","226","2","April",""
"3397","226","2","November",""
"3398","226","2","December",""
"3401","222","3","March",""
"3402","222","3","April","Peak Spawning"
"3403","222","3","May","Peak Spawning"
"3404","222","3","June","Peak Spawning"
"3405","222","3","July",""
"3406","222","3","August",""
"3414","223","3","April",""
"3415","223","3","May",""
"3416","223","3","June",""
"3417","223","3","July",""
"3418","223","3","August",""
"3423","137","3","February",""
"3424","137","3","April",""
"3425","140","3","April",""
"3426","138","3","February",""
"3427","138","3","April",""
"3428","139","3","January",""
"3429","139","3","February",""
"3430","139","3","March",""
"3431","139","3","April",""
"3444","412","3","May",""
"3445","412","3","June",""
"3446","412","3","July",""
"3447","412","3","August",""
"3448","412","3","September",""
"3449","412","3","October",""
"3457","410","3","June",""
"3458","410","3","July",""
"3459","410","3","August",""
"3460","410","3","September",""
"3469","409","3","June",""
"3470","409","3","July",""
"3471","409","3","August",""
"3472","409","3","September",""
"3480","411","3","May",""
"3481","411","3","June",""
"3482","411","3","July","Peak Spawning"
"3483","411","3","August","Peak Spawning"
"3484","411","3","September",""
"3485","411","3","October",""
"3490","141","6","March",""
"3491","141","6","April",""
"3492","141","6","May",""
"3493","141","6","June",""
"3494","141","6","July",""
"3495","141","6","August",""
"3501","143","6","February",""
"3502","143","6","March",""
"3503","143","6","April",""
"3504","143","6","May","Peak Spawning"
"3505","143","6","June","Peak Spawning"
"3506","143","6","July","Peak Spawning"
"3507","143","6","August","Peak Spawning"
"3508","143","6","September","Peak Spawning"
"3515","142","6","April",""
"3516","142","6","May",""
"3517","142","6","June",""
"3518","142","6","July",""
"3519","142","6","August",""
"3520","142","6","September",""
"3540","144","6","April",""
"3541","144","6","May",""
"3542","144","6","June",""
"3543","144","6","July",""
"3544","144","6","August",""
"3545","144","6","September",""
"3546","144","6","October",""
"3549","76","6","January",""
"3553","76","6","May",""
"3554","76","6","June",""
"3555","76","6","July",""
"3557","76","6","September",""
"3558","76","6","October",""
"3559","76","6","November",""
"3560","76","6","December",""
"3561","81","6","January",""
"3562","81","6","February",""
"3563","81","6","March",""
"3564","81","6","April",""
"3565","81","6","May",""
"3566","81","6","June",""
"3572","81","6","December",""
"3573","80","6","January",""
"3574","80","6","February",""
"3575","80","6","March",""
"3576","80","6","April",""
"3577","80","6","May",""
"3578","80","6","June",""
"3585","77","6","January",""
"3586","77","6","February",""
"3587","77","6","March",""
"3588","77","6","April",""
"3589","77","6","May",""
"3590","77","6","June",""
"3597","78","6","January",""
"3598","78","6","February",""
"3599","78","6","March","Peak Spawning"
"3600","78","6","April","Peak Spawning"
"3601","78","6","May","Peak Spawning"
"3602","78","6","June",""
"3603","78","6","July",""
"3608","78","6","December",""
"3609","79","6","January",""
"3610","79","6","February",""
"3611","79","6","March",""
"3612","79","6","April",""
"3613","79","6","May",""
"3614","79","6","June",""
"3615","79","6","July",""
"3621","94","2","October",""
"3622","94","2","November",""
"3623","95","2","January",""
"3624","96","2","October",""
"3625","96","2","November",""
"3626","97","2","September",""
"3627","97","2","October",""
"3628","97","2","November",""
"3629","97","2","December",""
"3635","99","2","June",""
"3636","99","2","July",""
"3637","99","2","August",""
"3638","99","2","September",""
"3647","100","2","June",""
"3648","100","2","July",""
"3649","100","2","August",""
"3650","100","2","September",""
"3654","98","2","January",""
"3655","98","2","February",""
"3656","98","2","March",""
"3678","181","2","January",""
"3679","181","2","February","Peak Spawning"
"3688","181","2","November",""
"3689","181","2","December",""
"3690","170","2","January",""
"3691","170","2","February",""
"3692","170","2","March",""
"3701","170","2","December",""
"3702","172","2","January","Peak Spawning"
"3703","172","2","February","Peak Spawning"
"3704","172","2","March",""
"3713","172","2","December",""
"3714","174","2","January",""
"3715","174","2","February",""
"3726","175","2","January","Peak Spawning"
"3727","175","2","February","Peak Spawning"
"3728","175","2","March",""
"3738","178","2","January",""
"3739","178","2","February","Peak Spawning"
"3740","178","2","March","Peak Spawning"
"3741","178","2","April",""
"3749","178","2","December",""
"3750","179","2","January",""
"3751","179","2","February",""
"3752","179","2","March",""
"3753","179","2","April",""
