"source","table","category","species","year","landings_lb","value_usd"
"FB 181","Table 4a","Fish","Sanddab",1997,2044957,664099
"FB 181","Table 4a","Fish","Sanddab",1998,1434980,465006
"FB 181","Table 4a","Fish","Sanddab",1999,2044690,666313
"FB 181","Table 4a","Fish","Sanddab, longfin",1999,3,1
"FB 181","Table 4a","Fish","Sanddab, Pacific",1990,9,3
"FB 181","Table 4a","Fish","Sanddab, Pacific",1991,17,17
"FB 181","Table 4a","Fish","Sanddab, Pacific",1992,49,49
"FB 181","Table 4a","Fish","Sanddab, Pacific",1993,1210,364
"FB 181","Table 4a","Fish","Sanddab, Pacific",1994,91278,20918
"FB 181","Table 4a","Fish","Sanddab, Pacific",1995,9908,1145
"FB 181","Table 4a","Fish","Sanddab, Pacific",1996,958,270
"FB 181","Table 4a","Fish","Sanddab, Pacific",1997,1041,212
"FB 181","Table 4a","Fish","Sanddab, Pacific",1998,2755,1186
"FB 181","Table 4a","Fish","Sanddab, Pacific",1999,24399,6312
"FB 181","Table 4a","Fish","Sanddab, speckled",1997,30,9
"FB 181","Table 4a","Fish","Sanddab, speckled",1998,231,74
"FB 181","Table 4a","Fish","Sardine, Pacific",1987,968776,62610
"FB 181","Table 4a","Fish","Sardine, Pacific",1988,2619999,64782
"FB 181","Table 4a","Fish","Sardine, Pacific",1989,1844620,131446
"FB 181","Table 4a","Fish","Sardine, Pacific",1990,3668980,187430
"FB 181","Table 4a","Fish","Sardine, Pacific",1991,16727151,892770
"FB 181","Table 4a","Fish","Sardine, Pacific",1992,39571922,1739164
"FB 181","Table 4a","Fish","Sardine, Pacific",1993,33830484,1541446
"FB 181","Table 4a","Fish","Sardine, Pacific",1994,25669551,1400585
"FB 181","Table 4a","Fish","Sardine, Pacific",1995,88905577,3577735
"FB 181","Table 4a","Fish","Sardine, Pacific",1996,71778045,3094812
"FB 181","Table 4a","Fish","Sardine, Pacific",1997,95339046,4351379
"FB 181","Table 4a","Fish","Sardine, Pacific",1998,94700718,3616938
"FB 181","Table 4a","Fish","Sardine, Pacific",1999,131157672,5088319
"FB 181","Table 4a","Fish","Sargo",1987,109,75
"FB 181","Table 4a","Fish","Sargo",1988,1037,852
"FB 181","Table 4a","Fish","Sargo",1989,179,117
"FB 181","Table 4a","Fish","Sargo",1990,109,76
"FB 181","Table 4a","Fish","Sargo",1991,289,202
"FB 181","Table 4a","Fish","Sargo",1992,480,339
"FB 181","Table 4a","Fish","Sargo",1993,180,150
"FB 181","Table 4a","Fish","Sargo",1994,312,298
"FB 181","Table 4a","Fish","Sargo",1997,478,496
"FB 181","Table 4a","Fish","Sargo",1998,51,54
"FB 181","Table 4a","Fish","Sargo",1999,176,210
"FB 181","Table 4a","Fish","Saury, Pacific",1995,53,21
"FB 181","Table 4a","Fish","Scorpionfish, California",1987,28786,30327
"FB 181","Table 4a","Fish","Scorpionfish, California",1988,29829,28200
"FB 181","Table 4a","Fish","Scorpionfish, California",1989,42450,61199
"FB 181","Table 4a","Fish","Scorpionfish, California",1990,86189,162264
"FB 181","Table 4a","Fish","Scorpionfish, California",1991,63827,104810
"FB 181","Table 4a","Fish","Scorpionfish, California",1992,77323,124350
"FB 181","Table 4a","Fish","Scorpionfish, California",1993,58877,94620
"FB 181","Table 4a","Fish","Scorpionfish, California",1994,113123,181007
"FB 181","Table 4a","Fish","Scorpionfish, California",1995,90770,146466
"FB 181","Table 4a","Fish","Scorpionfish, California",1996,76649,115927
"FB 181","Table 4a","Fish","Scorpionfish, California",1997,83472,137073
"FB 181","Table 4a","Fish","Scorpionfish, California",1998,112824,190267
"FB 181","Table 4a","Fish","Scorpionfish, California",1999,86688,203566
"FB 181","Table 4a","Fish","Sculpin, staghorn",1987,110,136
"FB 181","Table 4a","Fish","Sculpin, staghorn",1988,4920,7830
"FB 181","Table 4a","Fish","Sculpin, staghorn",1989,2684,7100
"FB 181","Table 4a","Fish","Sculpin, staghorn",1990,5730,14289
"FB 181","Table 4a","Fish","Sculpin, staghorn",1991,5087,17204
"FB 181","Table 4a","Fish","Sculpin, staghorn",1992,5238,12666
"FB 181","Table 4a","Fish","Sculpin, staghorn",1993,5198,10454
"FB 181","Table 4a","Fish","Sculpin, staghorn",1994,3557,7358
"FB 181","Table 4a","Fish","Sculpin, staghorn",1995,1838,4542
"FB 181","Table 4a","Fish","Sculpin, staghorn",1996,1711,7009
"FB 181","Table 4a","Fish","Sculpin, staghorn",1997,2221,5623
"FB 181","Table 4a","Fish","Sculpin, staghorn",1998,3097,4801
"FB 181","Table 4a","Fish","Sculpin, staghorn",1999,2723,9619
"FB 181","Table 4a","Fish","Sculpin, yellowchin",1995,4,2
"FB 181","Table 4a","Fish","Seabass, white",1987,116454,222521
"FB 181","Table 4a","Fish","Seabass, white",1988,107600,216176
"FB 181","Table 4a","Fish","Seabass, white",1989,116022,248660
"FB 181","Table 4a","Fish","Seabass, white",1990,133661,286979
"FB 181","Table 4a","Fish","Seabass, white",1991,163784,341799
"FB 181","Table 4a","Fish","Seabass, white",1992,125149,264110
"FB 181","Table 4a","Fish","Seabass, white",1993,100060,206040
"FB 181","Table 4a","Fish","Seabass, white",1994,78932,149947
"FB 181","Table 4a","Fish","Seabass, white",1995,73293,163941
"FB 181","Table 4a","Fish","Seabass, white",1996,96162,197242
"FB 181","Table 4a","Fish","Seabass, white",1997,58554,128095
"FB 181","Table 4a","Fish","Seabass, white",1998,164415,314475
"FB 181","Table 4a","Fish","Seabass, white",1999,247844,426548
"FB 181","Table 4a","Fish","Senorita",1994,4,2
"FB 181","Table 4a","Fish","Senorita",1995,222,129
"FB 181","Table 4a","Fish","Shad, American",1987,19327,34238
"FB 181","Table 4a","Fish","Shad, American",1988,28102,45917
"FB 181","Table 4a","Fish","Shad, American",1989,32642,46443
"FB 181","Table 4a","Fish","Shad, American",1990,44051,75385
"FB 181","Table 4a","Fish","Shad, American",1991,70659,121702
"FB 181","Table 4a","Fish","Shad, American",1992,35938,60259
"FB 181","Table 4a","Fish","Shad, American",1993,12092,21903
"FB 181","Table 4a","Fish","Shad, American",1994,957,1433
"FB 181","Table 4a","Fish","Shad, American",1995,108,34
"FB 181","Table 4a","Fish","Shad, American",1996,378,132
"FB 181","Table 4a","Fish","Shad, American",1997,1014,994
"FB 181","Table 4a","Fish","Shad, American",1998,797,804
"FB 181","Table 4a","Fish","Shad, American",1999,5,3
"FB 181","Table 4a","Fish","Shad, threadfin",1987,16878,26811
"FB 181","Table 4a","Fish","Shad, threadfin",1988,4308,7641
"FB 181","Table 4a","Fish","Shad, threadfin",1989,1718,3436
"FB 181","Table 4a","Fish","Shad, threadfin",1990,10984,17505
"FB 181","Table 4a","Fish","Shad, threadfin",1991,11521,24384
"FB 181","Table 4a","Fish","Shad, threadfin",1992,26317,49278
"FB 181","Table 4a","Fish","Shad, threadfin",1993,36522,62297
"FB 181","Table 4a","Fish","Shad, threadfin",1994,56692,97760
"FB 181","Table 4a","Fish","Shad, threadfin",1995,35086,61537
"FB 181","Table 4a","Fish","Shad, threadfin",1996,68022,109958
"FB 181","Table 4a","Fish","Shad, threadfin",1997,64241,102102
"FB 181","Table 4a","Fish","Shad, threadfin",1998,53976,74269
"FB 181","Table 4a","Fish","Shad, threadfin",1999,52858,47039
"FB 181","Table 4a","Fish","Shark, basking",1991,81,49
"FB 181","Table 4a","Fish","Shark, basking",1993,902,902
"FB 181","Table 4a","Fish","Shark, basking",1994,80,116
"FB 181","Table 4a","Fish","Shark, basking",1999,193,199
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1987,25304,21021
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1988,12033,9634
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1989,22093,21175
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1990,39931,34607
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1991,40911,24783
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1992,27899,14758
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1993,56545,29176
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1994,47942,34066
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1995,40345,25230
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1996,24741,16432
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1997,40930,35655
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1998,14098,9773
"FB 181","Table 4a","Fish","Shark, bigeye thresher",1999,7090,5877
"FB 181","Table 4a","Fish","Shark, blacktip",1993,1600,960
"FB 181","Table 4a","Fish","Shark, blacktip",1999,34,68
"FB 181","Table 4a","Fish","Shark, blue",1987,3410,1321
"FB 181","Table 4a","Fish","Shark, blue",1988,7147,2093
"FB 181","Table 4a","Fish","Shark, blue",1989,13521,3309
"FB 181","Table 4a","Fish","Shark, blue",1990,43675,11129
"FB 181","Table 4a","Fish","Shark, blue",1991,1200,515
"FB 181","Table 4a","Fish","Shark, blue",1992,2880,1750
"FB 181","Table 4a","Fish","Shark, blue",1993,522,387
"FB 181","Table 4a","Fish","Shark, blue",1994,24828,15972
"FB 181","Table 4a","Fish","Shark, blue",1995,7360,2610
"FB 181","Table 4a","Fish","Shark, blue",1996,320,95
"FB 181","Table 4a","Fish","Shark, blue",1997,236,65
"FB 181","Table 4a","Fish","Shark, blue",1998,1070,385
"FB 181","Table 4a","Fish","Shark, blue",1999,116,29
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1987,12905,6650
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1988,15515,10286
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1989,11132,5586
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1990,12452,5993
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1991,10444,5299
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1992,10156,5432
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1993,7118,4428
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1994,3886,5033
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1995,454,587
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1996,882,382
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1997,2676,1233
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1998,5020,3805
"FB 181","Table 4a","Fish","Shark, brown smoothhound",1999,9518,6070
"FB 181","Table 4a","Fish","Shark, dusky",1992,526,79
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1988,20,22
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1989,412,102
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1990,606,341
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1991,68,124
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1992,87,38
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1994,38,13
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1995,238,65
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1996,760,207
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1997,1007,443
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1998,83,78
"FB 181","Table 4a","Fish","Shark, gray smoothhound",1999,1100,1318
"FB 181","Table 4a","Fish","Shark, horn",1987,53,1607
"FB 181","Table 4a","Fish","Shark, horn",1988,136,3343
"FB 181","Table 4a","Fish","Shark, horn",1989,32,64
"FB 181","Table 4a","Fish","Shark, horn",1990,134,135
"FB 181","Table 4a","Fish","Shark, horn",1992,1,1
"FB 181","Table 4a","Fish","Shark, horn",1994,7,175
"FB 181","Table 4a","Fish","Shark, horn",1995,81,111
"FB 181","Table 4a","Fish","Shark, horn",1997,69,17
"FB 181","Table 4a","Fish","Shark, horn",1999,40,20
"FB 181","Table 4a","Fish","Shark, leopard",1987,55344,38249
"FB 181","Table 4a","Fish","Shark, leopard",1988,41704,34895
"FB 181","Table 4a","Fish","Shark, leopard",1989,50495,40593
"FB 181","Table 4a","Fish","Shark, leopard",1990,41130,29702
"FB 181","Table 4a","Fish","Shark, leopard",1991,47735,34778
"FB 181","Table 4a","Fish","Shark, leopard",1992,42242,32176
"FB 181","Table 4a","Fish","Shark, leopard",1993,52150,36056
"FB 181","Table 4a","Fish","Shark, leopard",1994,27615,19533
"FB 181","Table 4a","Fish","Shark, leopard",1995,18660,17677
"FB 181","Table 4a","Fish","Shark, leopard",1996,13849,11223
"FB 181","Table 4a","Fish","Shark, leopard",1997,20508,18114
"FB 181","Table 4a","Fish","Shark, leopard",1998,26219,24322
"FB 181","Table 4a","Fish","Shark, leopard",1999,25584,23820
"FB 181","Table 4a","Fish","Shark, Pacific angel",1987,940136,542591
"FB 181","Table 4a","Fish","Shark, Pacific angel",1988,491284,307172
"FB 181","Table 4a","Fish","Shark, Pacific angel",1989,268841,166148
"FB 181","Table 4a","Fish","Shark, Pacific angel",1990,250895,164619
"FB 181","Table 4a","Fish","Shark, Pacific angel",1991,181748,119567
"FB 181","Table 4a","Fish","Shark, Pacific angel",1992,123554,77768
"FB 181","Table 4a","Fish","Shark, Pacific angel",1993,66654,43741
"FB 181","Table 4a","Fish","Shark, Pacific angel",1994,23230,14735
"FB 181","Table 4a","Fish","Shark, Pacific angel",1995,19711,12550
"FB 181","Table 4a","Fish","Shark, Pacific angel",1996,17995,14297
"FB 181","Table 4a","Fish","Shark, Pacific angel",1997,33673,29423
"FB 181","Table 4a","Fish","Shark, Pacific angel",1998,55342,51729
"FB 181","Table 4a","Fish","Shark, Pacific angel",1999,53396,50869
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1987,2294,1842
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1988,773,822
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1989,249,149
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1990,1733,1680
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1992,638,602
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1993,684,416
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1994,210,42
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1995,6270,8778
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1996,1504,1557
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1997,45162,63388
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1998,2334,2666
"FB 181","Table 4a","Fish","Shark, pelagic thresher",1999,13398,18424
"FB 181","Table 4a","Fish","Shark, salmon",1987,255,189
"FB 181","Table 4a","Fish","Shark, salmon",1988,265,201
"FB 181","Table 4a","Fish","Shark, salmon",1989,351,176
"FB 181","Table 4a","Fish","Shark, salmon",1991,22,11
"FB 181","Table 4a","Fish","Shark, salmon",1993,15453,7908
"FB 181","Table 4a","Fish","Shark, salmon",1994,168,168
"FB 181","Table 4a","Fish","Shark, salmon",1995,263,95
"FB 181","Table 4a","Fish","Shark, salmon",1997,188,94
"FB 181","Table 4a","Fish","Shark, salmon",1998,126,139
"FB 181","Table 4a","Fish","Shark, salmon",1999,278,695
"FB 181","Table 4a","Fish","Shark, sevengill",1987,170,119
"FB 181","Table 4a","Fish","Shark, sevengill",1988,21,20
"FB 181","Table 4a","Fish","Shark, sevengill",1989,13,11
"FB 181","Table 4a","Fish","Shark, sevengill",1991,15,15
"FB 181","Table 4a","Fish","Shark, sevengill",1992,77,37
"FB 181","Table 4a","Fish","Shark, sevengill",1994,48,38
"FB 181","Table 4a","Fish","Shark, sevengill",1996,89,58
"FB 181","Table 4a","Fish","Shark, sevengill",1997,40,22
"FB 181","Table 4a","Fish","Shark, sevengill",1998,30,22
"FB 181","Table 4a","Fish","Shark, sevengill",1999,174,106
"FB 181","Table 4a","Fish","Shark, shortfin mako",1987,611981,709317
"FB 181","Table 4a","Fish","Shark, shortfin mako",1988,489183,650342
"FB 181","Table 4a","Fish","Shark, shortfin mako",1989,388299,544253
"FB 181","Table 4a","Fish","Shark, shortfin mako",1990,567601,740895
"FB 181","Table 4a","Fish","Shark, shortfin mako",1991,333055,416464
"FB 181","Table 4a","Fish","Shark, shortfin mako",1992,215876,230773
"FB 181","Table 4a","Fish","Shark, shortfin mako",1993,185254,221345
"FB 181","Table 4a","Fish","Shark, shortfin mako",1994,193782,245255
"FB 181","Table 4a","Fish","Shark, shortfin mako",1995,145278,165856
"FB 181","Table 4a","Fish","Shark, shortfin mako",1996,142152,163069
"FB 181","Table 4a","Fish","Shark, shortfin mako",1997,210350,237658
"FB 181","Table 4a","Fish","Shark, shortfin mako",1998,151416,173544
"FB 181","Table 4a","Fish","Shark, shortfin mako",1999,95234,110397
"FB 181","Table 4a","Fish","Shark, sixgill",1987,55,110
"FB 181","Table 4a","Fish","Shark, sixgill",1988,20,40
"FB 181","Table 4a","Fish","Shark, sixgill",1990,1086,543
"FB 181","Table 4a","Fish","Shark, sixgill",1991,17,8
"FB 181","Table 4a","Fish","Shark, sixgill",1993,165,165
"FB 181","Table 4a","Fish","Shark, sixgill",1994,916,275
"FB 181","Table 4a","Fish","Shark, sixgill",1997,25,16
"FB 181","Table 4a","Fish","Shark, sixgill",1998,190,168
"FB 181","Table 4a","Fish","Shark, sixgill",1999,208,200
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1987,1807,984
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1988,537,565
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1989,158,79
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1990,1994,1264
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1991,51,43
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1992,5031,2415
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1993,922,411
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1994,648,482
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1996,518,237
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1997,382,221
"FB 181","Table 4a","Fish","Shark, smooth hammerhead",1998,1803,1158
"FB 181","Table 4a","Fish","Shark, soupfin",1987,201420,171315
"FB 181","Table 4a","Fish","Shark, soupfin",1988,140507,128878
"FB 181","Table 4a","Fish","Shark, soupfin",1989,165346,136961
"FB 181","Table 4a","Fish","Shark, soupfin",1990,125713,103276
"FB 181","Table 4a","Fish","Shark, soupfin",1991,104849,79690
"FB 181","Table 4a","Fish","Shark, soupfin",1992,95779,71883
"FB 181","Table 4a","Fish","Shark, soupfin",1993,77432,59157
"FB 181","Table 4a","Fish","Shark, soupfin",1994,79486,68910
"FB 181","Table 4a","Fish","Shark, soupfin",1995,63911,55123
"FB 181","Table 4a","Fish","Shark, soupfin",1996,83868,70654
"FB 181","Table 4a","Fish","Shark, soupfin",1997,84933,79812
"FB 181","Table 4a","Fish","Shark, soupfin",1998,78530,65759
"FB 181","Table 4a","Fish","Shark, soupfin",1999,98434,85437
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1987,53935,5253
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1988,3773,630
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1989,3430,803
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1990,6873,1304
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1991,1523,232
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1992,3350,469
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1993,6230,1587
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1994,1221,596
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1995,232,52
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1996,1320,2462
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1997,8405,2334
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1998,14996,7093
"FB 181","Table 4a","Fish","Shark, spiny dogfish",1999,77752,68048
"FB 181","Table 4a","Fish","Shark, swell",1988,2,10
"FB 181","Table 4a","Fish","Shark, swell",1989,4,20
"FB 181","Table 4a","Fish","Shark, swell",1994,778,78
"FB 181","Table 4a","Fish","Shark, swell",1995,125,96
"FB 181","Table 4a","Fish","Shark, swell",1996,210,120
"FB 181","Table 4a","Fish","Shark, swell",1997,26,13
"FB 181","Table 4a","Fish","Shark, swell",1998,50,50
"FB 181","Table 4a","Fish","Shark, swell",1999,10,5
"FB 181","Table 4a","Fish","Shark, thresher",1987,525076,787169
"FB 181","Table 4a","Fish","Shark, thresher",1988,536232,817859
"FB 181","Table 4a","Fish","Shark, thresher",1989,650054,887667
"FB 181","Table 4a","Fish","Shark, thresher",1990,462041,637978
"FB 181","Table 4a","Fish","Shark, thresher",1991,758238,968655
"FB 181","Table 4a","Fish","Shark, thresher",1992,394192,459971
"FB 181","Table 4a","Fish","Shark, thresher",1993,356059,458863
"FB 181","Table 4a","Fish","Shark, thresher",1994,427513,583587
"FB 181","Table 4a","Fish","Shark, thresher",1995,342335,472558
"FB 181","Table 4a","Fish","Shark, thresher",1996,405042,585543
"FB 181","Table 4a","Fish","Shark, thresher",1997,411487,589824
"FB 181","Table 4a","Fish","Shark, thresher",1998,459437,604971
"FB 181","Table 4a","Fish","Shark, thresher",1999,328592,469958
"FB 181","Table 4a","Fish","Shark, unspecified",1987,167849,51280
"FB 181","Table 4a","Fish","Shark, unspecified",1988,44227,27331
"FB 181","Table 4a","Fish","Shark, unspecified",1989,22769,14853
"FB 181","Table 4a","Fish","Shark, unspecified",1990,18184,10023
"FB 181","Table 4a","Fish","Shark, unspecified",1991,10704,5917
"FB 181","Table 4a","Fish","Shark, unspecified",1992,6966,4008
"FB 181","Table 4a","Fish","Shark, unspecified",1993,9773,6141
"FB 181","Table 4a","Fish","Shark, unspecified",1994,12445,7378
"FB 181","Table 4a","Fish","Shark, unspecified",1995,25076,22637
"FB 181","Table 4a","Fish","Shark, unspecified",1996,9485,4040
"FB 181","Table 4a","Fish","Shark, unspecified",1997,12919,12680
"FB 181","Table 4a","Fish","Shark, unspecified",1998,11797,10491
"FB 181","Table 4a","Fish","Shark, unspecified",1999,13354,5860
"FB 181","Table 4a","Fish","Shark, white",1987,1343,1099
"FB 181","Table 4a","Fish","Shark, white",1988,2196,1014
"FB 181","Table 4a","Fish","Shark, white",1989,1345,350
"FB 181","Table 4a","Fish","Shark, white",1990,265,256
"FB 181","Table 4a","Fish","Shark, white",1991,121,128
"FB 181","Table 4a","Fish","Shark, white",1992,957,345
"FB 181","Table 4a","Fish","Shark, white",1994,364,285
"FB 181","Table 4a","Fish","Shark, white",1995,332,1492
"FB 181","Table 4a","Fish","Shark, white",1996,512,480
"FB 181","Table 4a","Fish","Shark, white",1997,258,258
"FB 181","Table 4a","Fish","Shark, white",1998,136,210
"FB 181","Table 4a","Fish","Sharks, cow",1987,358,162
"FB 181","Table 4a","Fish","Sharks, cow",1988,156,184
"FB 181","Table 4a","Fish","Sharks, cow",1989,131,96
"FB 181","Table 4a","Fish","Sharks, cow",1990,23,23
"FB 181","Table 4a","Fish","Sharks, cow",1992,557,470
"FB 181","Table 4a","Fish","Sharks, cow",1993,47,59
"FB 181","Table 4a","Fish","Sharks, cow",1994,122,73
"FB 181","Table 4a","Fish","Sharks, cow",1995,81,81
"FB 181","Table 4a","Fish","Sharks, cow",1997,27,11
"FB 181","Table 4a","Fish","Sheephead, California",1987,32865,19678
"FB 181","Table 4a","Fish","Sheephead, California",1988,29314,29820
"FB 181","Table 4a","Fish","Sheephead, California",1989,33019,55378
"FB 181","Table 4a","Fish","Sheephead, California",1990,123539,457787
"FB 181","Table 4a","Fish","Sheephead, California",1991,191705,503857
"FB 181","Table 4a","Fish","Sheephead, California",1992,258502,603259
"FB 181","Table 4a","Fish","Sheephead, California",1993,314151,812820
"FB 181","Table 4a","Fish","Sheephead, California",1994,259099,749345
"FB 181","Table 4a","Fish","Sheephead, California",1995,253658,702094
"FB 181","Table 4a","Fish","Sheephead, California",1996,252035,693805
"FB 181","Table 4a","Fish","Sheephead, California",1997,301815,849389
"FB 181","Table 4a","Fish","Sheephead, California",1998,261640,690653
"FB 181","Table 4a","Fish","Sheephead, California",1999,129598,414464
"FB 181","Table 4a","Fish","Sierra, Pacific",1987,52,26
"FB 181","Table 4a","Fish","Silversides",1987,4854,1256
"FB 181","Table 4a","Fish","Silversides",1988,1973,705
"FB 181","Table 4a","Fish","Silversides",1989,1707,687
"FB 181","Table 4a","Fish","Silversides",1990,1451,773
"FB 181","Table 4a","Fish","Silversides",1991,7546,1940
"FB 181","Table 4a","Fish","Silversides",1992,381,99
"FB 181","Table 4a","Fish","Silversides",1993,2056,818
"FB 181","Table 4a","Fish","Silversides",1994,35,18
"FB 181","Table 4a","Fish","Silversides",1995,1200,392
"FB 181","Table 4a","Fish","Silversides",1996,162,37
"FB 181","Table 4a","Fish","Silversides",1997,130,44
"FB 181","Table 4a","Fish","Silversides",1998,34,17
"FB 181","Table 4a","Fish","Silversides",1999,24,6
"FB 181","Table 4a","Fish","Skate, big",1995,230,87
"FB 181","Table 4a","Fish","Skate, big",1997,534,96
"FB 181","Table 4a","Fish","Skate, big",1998,3592,647
"FB 181","Table 4a","Fish","Skate, big",1999,1257,478
"FB 181","Table 4a","Fish","Skate, California",1994,155,28
"FB 181","Table 4a","Fish","Skate, California",1999,141,56
"FB 181","Table 4a","Fish","Skate, thornback",1996,18,5
"FB 181","Table 4a","Fish","Skate, thornback",1997,70,28
"FB 181","Table 4a","Fish","Skate, thornback",1998,1427,1070
"FB 181","Table 4a","Fish","Skate, thornback",1999,24,2
"FB 181","Table 4a","Fish","Skate, unspecified",1987,169691,49808
"FB 181","Table 4a","Fish","Skate, unspecified",1988,127852,37917
"FB 181","Table 4a","Fish","Skate, unspecified",1989,174838,44667
"FB 181","Table 4a","Fish","Skate, unspecified",1990,143732,39537
"FB 181","Table 4a","Fish","Skate, unspecified",1991,113144,32875
"FB 181","Table 4a","Fish","Skate, unspecified",1992,103469,31563
"FB 181","Table 4a","Fish","Skate, unspecified",1993,78070,24014
"FB 181","Table 4a","Fish","Skate, unspecified",1994,93236,29635
"FB 181","Table 4a","Fish","Skate, unspecified",1995,413048,89345
"FB 181","Table 4a","Fish","Skate, unspecified",1996,1830076,392291
"FB 181","Table 4a","Fish","Skate, unspecified",1997,2964740,574032
"FB 181","Table 4a","Fish","Skate, unspecified",1998,1831148,385361
"FB 181","Table 4a","Fish","Skate, unspecified",1999,1867897,288068
"FB 181","Table 4a","Fish","Smelt, night",1987,581,195
"FB 181","Table 4a","Fish","Smelt, night",1988,11477,3698
"FB 181","Table 4a","Fish","Smelt, night",1989,80062,24026
"FB 181","Table 4a","Fish","Smelt, night",1990,556356,166789
"FB 181","Table 4a","Fish","Smelt, night",1991,901367,262272
"FB 181","Table 4a","Fish","Smelt, night",1992,455907,116070
"FB 181","Table 4a","Fish","Smelt, night",1993,666811,136094
"FB 181","Table 4a","Fish","Smelt, night",1994,1242232,322265
"FB 181","Table 4a","Fish","Smelt, night",1995,1217488,367017
"FB 181","Table 4a","Fish","Smelt, night",1996,1254119,328200
"FB 181","Table 4a","Fish","Smelt, night",1997,894487,211463
"FB 181","Table 4a","Fish","Smelt, night",1998,399502,106666
"FB 181","Table 4a","Fish","Smelt, night",1999,548446,165079
"FB 181","Table 4a","Fish","Smelt, surf",1987,5778,1575
"FB 181","Table 4a","Fish","Smelt, surf",1988,11058,2356
"FB 181","Table 4a","Fish","Smelt, surf",1989,189765,28709
"FB 181","Table 4a","Fish","Smelt, surf",1990,286295,44861
"FB 181","Table 4a","Fish","Smelt, surf",1991,419288,67893
"FB 181","Table 4a","Fish","Smelt, surf",1992,393537,63825
"FB 181","Table 4a","Fish","Smelt, surf",1993,433715,68839
"FB 181","Table 4a","Fish","Smelt, surf",1994,665020,162176
"FB 181","Table 4a","Fish","Smelt, surf",1995,803179,243773
"FB 181","Table 4a","Fish","Smelt, surf",1996,819301,190170
